Time (s),Velocity - X (cm/s),Velocity - Y (cm/s),Velocity - Total (cm/s)
0.00,0.00,0.00,0.00
0.15,0.00,0.00,0.00
0.32,0.00,0.00,0.00
0.45,0.00,0.00,0.00
0.60,0.00,0.00,0.00
0.75,0.00,0.00,0.00
0.90,0.00,0.00,0.00
1.05,0.00,0.00,0.00
1.20,0.00,0.00,0.00
1.35,0.00,0.00,0.00
1.50,0.00,0.00,0.00
1.65,0.00,0.00,0.00
1.80,-0.40,57.20,57.20
1.95,-0.80,37.20,37.21
2.10,-1.90,66.40,66.43
2.25,-3.50,93.30,93.37
2.40,-4.60,92.50,92.61
2.55,-6.60,112.50,112.69
2.70,-5.60,118.30,118.43
2.85,-5.00,132.00,132.09
3.00,-4.50,134.80,134.88
3.15,-7.00,142.70,142.87
3.30,-1.80,136.50,136.51
3.45,-3.70,118.90,118.96
3.63,-5.50,145.10,145.20
3.75,-5.30,118.00,118.12
3.90,-0.70,146.90,146.90
4.05,-3.40,125.20,125.25
4.20,-4.30,129.30,129.37
4.35,-2.10,127.00,127.02
4.50,-7.00,125.40,125.60
4.65,-0.70,137.50,137.50
4.80,-1.90,139.50,139.51
4.95,1.10,130.30,130.30
5.10,0.90,133.80,133.80
5.25,0.80,134.30,134.30
5.40,1.70,126.80,126.81
5.55,1.60,133.20,133.21
5.70,0.80,121.00,121.00
5.85,0.40,144.90,144.90
6.00,0.40,131.50,131.50
6.15,0.00,126.70,126.70
6.30,-0.30,133.20,133.20
6.45,-1.10,138.70,138.70
6.60,-1.00,116.90,116.90
6.75,-1.00,131.00,131.00
6.90,-0.80,136.20,136.20
7.06,-2.20,131.40,131.42
7.21,-2.30,119.20,119.22
7.36,-3.40,129.80,129.84
7.51,-2.40,135.00,135.02
7.67,-2.50,134.50,134.52
7.82,-1.80,64.30,64.33
7.97,0.90,97.00,97.00
8.11,3.50,54.40,54.51
8.26,0.80,18.00,18.02
8.41,-1.00,31.40,31.42
8.56,-1.30,21.00,21.04
8.71,0.60,8.60,8.62
8.86,1.70,5.20,5.47
9.01,0.40,3.30,3.32
9.17,-0.80,-0.50,0.94
9.33,-1.20,-2.30,2.59
9.46,0.00,-0.30,0.30
9.61,0.90,2.70,2.85
9.76,2.90,24.70,24.87
9.91,6.30,4.90,7.98
10.06,46.80,10.60,47.99
10.21,47.90,6.10,48.29
10.36,111.10,-0.70,111.10
10.55,111.30,-0.70,111.30
10.66,101.60,-0.90,101.60
10.81,100.30,0.90,100.30
10.96,112.00,0.50,112.00
11.11,106.10,0.30,106.10
11.26,117.30,0.50,117.30
11.41,110.60,0.00,110.60
11.56,125.30,-1.60,125.31
11.71,109.00,-0.60,109.00
11.87,117.70,-0.10,117.70
12.01,110.80,-1.50,110.81
12.16,113.30,-0.40,113.30
12.31,120.10,-1.40,120.11
12.48,113.30,0.80,113.30
12.61,131.00,0.90,131.00
12.76,112.20,1.30,112.21
12.92,116.30,1.70,116.31
13.08,125.40,0.50,125.40
13.21,111.30,-0.20,111.30
13.36,111.30,4.50,111.39
13.51,78.90,1.40,78.91
13.66,45.60,-5.60,45.94
13.81,68.70,1.30,68.71
13.96,38.20,-3.10,38.33
14.11,24.40,-3.50,24.65
14.27,14.90,-0.10,14.90
14.41,8.30,3.60,9.05
14.56,-0.50,2.00,2.06
14.71,-4.20,-2.10,4.70
14.87,0.50,-2.80,2.84
15.03,4.20,1.20,4.37
15.19,1.40,2.40,2.78
15.32,-2.40,0.40,2.43
15.47,1.90,-2.10,2.83
15.62,2.90,-11.50,11.86
15.79,7.40,-52.10,52.62
15.93,5.50,-27.50,28.04
16.07,-3.70,-84.30,84.38
16.23,-1.30,-111.90,111.91
16.38,-0.50,-106.00,106.00
16.53,-1.70,-106.90,106.91
16.68,-2.40,-125.00,125.02
16.83,-1.30,-141.20,141.21
16.98,0.60,-139.40,139.40
17.13,1.10,-138.00,138.00
17.28,1.10,-139.50,139.50
17.43,1.50,-139.60,139.61
17.60,1.30,-130.40,130.41
17.73,1.40,-133.80,133.81
17.88,0.90,-128.40,128.40
18.03,1.60,-136.80,136.81
18.18,0.10,-127.50,127.50
18.33,1.50,-127.20,127.21
18.48,1.30,-143.60,143.61
18.63,1.00,-134.20,134.20
18.78,1.40,-126.50,126.51
18.93,1.60,-133.10,133.11
19.08,2.10,-140.20,140.22
19.27,2.30,-124.80,124.82
19.38,1.90,-147.90,147.91
19.53,2.00,-127.90,127.92
19.68,5.10,-131.80,131.90
19.83,7.10,-126.30,126.50
19.98,7.60,-136.80,137.01
20.13,6.30,-123.20,123.36
20.28,7.10,-129.80,129.99
20.43,6.00,-127.00,127.14
20.58,7.10,-140.20,140.38
20.73,4.50,-133.00,133.08
20.88,3.60,-134.50,134.55
21.03,1.60,-128.40,128.41
21.18,1.80,-139.40,139.41
21.33,0.60,-150.00,150.00
21.48,0.20,-130.70,130.70
21.63,0.50,-59.80,59.80
21.78,-2.20,-98.20,98.22
21.93,-2.40,-40.70,40.77
22.08,-1.60,-19.30,19.37
22.23,-5.30,-27.90,28.40
22.38,-0.20,-13.70,13.70
22.53,7.30,-11.40,13.54
22.68,3.70,-2.00,4.21
22.83,-4.40,1.80,4.75
22.98,-3.60,-1.30,3.83
23.13,2.50,-4.10,4.80
23.28,2.60,0.00,2.60
23.43,0.30,3.20,3.21
23.63,-3.50,-14.60,15.01
23.73,-33.20,-4.40,33.49
23.88,-53.80,-3.00,53.88
24.04,-24.60,-0.20,24.60
24.18,-99.10,-0.20,99.10
24.33,-124.40,0.00,124.40
24.49,-121.90,0.30,121.90
24.64,-114.10,-0.30,114.10
24.79,-126.20,1.50,126.21
24.95,-120.00,0.80,120.00
25.10,-119.40,1.00,119.40
25.28,-113.30,0.60,113.30
25.39,-120.30,0.40,120.30
25.54,-106.60,0.90,106.60
25.69,-124.30,0.20,124.30
25.84,-115.70,-1.20,115.71
25.99,-110.70,0.20,110.70
26.14,-121.80,0.00,121.80
26.30,-130.20,1.50,130.21
26.45,-115.20,0.80,115.20
26.59,-110.80,-0.40,110.80
26.75,-122.70,-1.00,122.70
26.89,-103.20,-0.90,103.20
27.05,-111.80,-0.10,111.80
27.19,-113.90,-1.50,113.91
27.34,-63.40,0.30,63.40
27.49,-96.70,-0.90,96.70
27.64,-56.70,-1.60,56.72
27.81,-34.30,-2.20,34.37
27.94,-17.00,1.60,17.08
28.09,-17.90,2.70,18.10
28.25,-7.70,-0.60,7.72
28.39,-1.00,-2.70,2.88
28.54,3.20,-0.80,3.30
28.70,0.40,2.20,2.24
28.84,-4.10,1.90,4.52
29.00,-4.10,-1.00,4.22
29.14,0.40,-2.30,2.33
29.37,3.70,-0.30,3.71
29.45,1.10,1.70,2.02
29.59,-3.40,1.20,3.61
29.76,-3.80,-0.10,3.80
29.89,0.40,-1.90,1.94
30.05,1.80,-1.20,2.16
30.20,1.10,1.40,1.78
30.36,-1.70,1.30,2.14
30.50,-2.40,-0.60,2.47
30.64,0.10,-1.30,1.30
30.79,1.60,-0.40,1.65
30.95,0.60,0.40,0.72
31.09,0.00,1.00,1.00
31.25,-1.30,0.60,1.43
31.39,-0.80,-0.60,1.00
31.54,0.90,-0.50,1.03
31.69,1.20,-0.30,1.24
31.84,0.20,0.50,0.54
32.00,-0.90,0.60,1.08
32.15,-1.00,0.20,1.02
32.31,0.20,-0.60,0.63
32.45,0.90,-0.50,1.03
32.62,0.50,0.00,0.50
32.75,-0.40,0.60,0.72
32.90,-0.60,0.50,0.78
33.06,-0.50,-0.50,0.71
33.21,0.50,-0.30,0.58
33.36,0.60,-0.20,0.63
33.51,0.40,0.00,0.40
33.73,-0.10,0.20,0.22
33.81,-0.40,0.00,0.40
33.96,-0.30,0.10,0.32
34.11,-0.60,0.10,0.61
34.26,0.40,0.10,0.41
34.41,0.80,0.10,0.81
34.56,-0.10,0.10,0.14
34.71,-0.70,-0.40,0.81
34.88,-0.30,-0.10,0.32
35.01,0.40,-0.20,0.45
35.16,0.50,-0.60,0.78
35.31,-0.40,0.50,0.64
35.46,0.00,0.10,0.10
35.61,-0.80,-0.20,0.82
35.76,1.10,-0.30,1.14
35.91,0.80,0.40,0.89
36.06,0.00,0.10,0.10
36.21,-0.80,-0.30,0.85
36.36,-1.00,-0.10,1.00
36.51,0.60,-0.20,0.63
36.66,0.50,0.80,0.94
36.81,0.00,0.40,0.40
36.96,-0.50,-0.70,0.86
37.11,0.10,-0.70,0.71
37.26,0.10,0.60,0.61
37.41,0.20,0.80,0.82
37.56,-0.30,-0.50,0.58
37.71,0.00,-0.60,0.60
37.86,0.00,0.10,0.10
38.01,0.10,0.40,0.41
38.16,0.20,0.60,0.63
38.31,-0.20,-0.60,0.63
38.46,0.00,-0.40,0.40
38.62,0.00,0.10,0.10
38.76,0.10,0.20,0.22
38.91,0.30,0.00,0.30
39.06,0.00,-0.10,0.10
39.28,-0.20,0.00,0.20
39.36,-0.20,-0.10,0.22
39.51,0.00,0.00,0.00
39.66,0.10,0.10,0.14
39.81,0.10,0.00,0.10
39.96,0.00,0.00,0.00
40.11,-0.50,0.00,0.50
40.26,0.40,0.00,0.40
40.41,0.50,0.00,0.50
40.56,0.10,-0.10,0.14
40.71,-0.50,-0.10,0.51
40.86,0.10,-0.30,0.32
41.01,0.00,0.30,0.30
41.16,0.00,0.50,0.50
41.31,-0.30,-0.20,0.36
41.46,0.30,-0.20,0.36
41.61,-0.10,0.00,0.10
41.77,-0.10,0.30,0.32
41.92,0.00,-0.20,0.20
42.07,0.30,-0.30,0.42
42.23,-0.30,0.20,0.36
42.38,0.00,0.30,0.30
42.53,0.00,-0.20,0.20
42.67,0.10,-0.10,0.14
42.83,-0.10,0.10,0.14
42.98,0.00,0.10,0.10
43.12,0.00,0.00,0.00
43.28,0.10,0.00,0.10
43.42,0.00,0.00,0.00
43.60,0.00,0.10,0.10
43.72,0.00,0.10,0.10
43.87,0.00,0.00,0.00
44.02,0.10,-0.10,0.14
44.17,-0.10,0.00,0.10
44.33,0.00,0.10,0.10
44.48,-0.10,0.00,0.10
44.64,0.10,0.00,0.10
44.77,0.00,0.00,0.00
44.92,0.00,0.00,0.00
45.09,0.00,0.00,0.00
45.23,0.00,0.00,0.00
45.38,0.00,0.00,0.00
45.53,0.00,0.00,0.00
45.67,0.00,0.00,0.00
45.82,0.00,0.00,0.00
45.97,0.00,0.00,0.00
46.12,0.00,0.00,0.00
46.27,0.00,0.00,0.00
46.42,0.00,0.00,0.00
46.58,0.00,0.00,0.00
46.73,0.00,0.00,0.00
46.88,0.00,0.00,0.00
47.04,0.00,0.00,0.00
47.17,0.00,0.00,0.00
47.33,0.00,0.00,0.00
47.48,0.00,0.00,0.00
47.64,0.00,0.00,0.00
47.77,0.00,0.00,0.00
47.92,0.00,0.00,0.00
48.08,0.00,0.00,0.00
